Death Adder,Acanthophis antarcticus
Pigmy Copperhead,Austrelaps labialis
Highlands Copperhead,Austrelaps ramsayi
Lowlands Copperhead,Austrelaps superbus
Eastern Green Mamba,Dendroaspis angusticeps
Jameson's Mamba,Dendroaspis jamesoni
Black Mamba,Dendroaspis polylepis
Western Green Mamba,Dendroaspis viridis
Yellow-Lipped Sea Krait,Laticauda colubrina
Coral Snake,Micrurus fulvius
Egyptian Cobra,Naja haje
Indian Cobra,Naja naja
Black Necked Spitting Cobra,Naja nigricollis
Caspian Cobra,Naja oxiana
Red Spitting Cobra,Naja pallida
Tiger Snake,Notechis scutatus
King Cobra,Ophiophagus hannah
Inland Taipan,Oxyuranus microlepidotus
Costal Taipan,Oxyuranus scutellatus
King Brown,Pseudechis australis
Collett's Black Snake,Pseudechis colleti
Red-Bellied Black Snake,Pseudechis porphryiacus
Western Brown Snake,Pseudonaja nuchalis
Eastern Brown Snake,Pseudonaja textilis
